Id,Time[ns],0:UART: RX/TX
538,1663955000.00000000000000000000,[0A]
539,1664038000.00000000000000000000,H
540,1664122000.00000000000000000000,[EF]
541,1664205000.00000000000000000000,n
542,1664288000.00000000000000000000,e
543,1664371000.00000000000000000000,y
544,1664454000.00000000000000000000, 
545,1664538000.00000000000000000000,[C2]
546,1664621000.00000000000000000000,e
547,1664704000.00000000000000000000,e
548,1664787000.00000000000000000000, 
549,1664870000.00000000000000000000,-
550,1664954000.00000000000000000000,[AD]
551,1665037000.00000000000000000000,-
552,1665120000.00000000000000000000,-
553,1665203000.00000000000000000000,>
554,1665286000.00000000000000000000, 
555,1665370000.00000000000000000000,[A0]
556,1665453000.00000000000000000000,M
557,1665536000.00000000000000000000,A
558,1665619000.00000000000000000000,C
559,1665702000.00000000000000000000, 
560,1665785000.00000000000000000000,1
561,1665869000.00000000000000000000, 
562,1665952000.00000000000000000000,S
563,1666035000.00000000000000000000,2
564,1666118000.00000000000000000000,7
565,1666201000.00000000000000000000, 
566,1666285000.00000000000000000000,P
567,1666368000.00000000000000000000,H
568,1666451000.00000000000000000000,Y
569,1666534000.00000000000000000000, 
570,1666617000.00000000000000000000,*
571,1666701000.00000000000000000000,[0D]
572,1666784000.00000000000000000000,[0A]
573,1668306000.00000000000000000000,S
574,1668390000.00000000000000000000,[B2]
575,1668473000.00000000000000000000,7
576,1668556000.00000000000000000000, 
577,1668639000.00000000000000000000,r
578,1668722000.00000000000000000000,e
579,1668806000.00000000000000000000,[E7]
580,1668889000.00000000000000000000, 
581,1668972000.00000000000000000000,i
582,1669055000.00000000000000000000,n
583,1669138000.00000000000000000000,i
584,1669222000.00000000000000000000,[F4]
585,1669305000.00000000000000000000,[0D]
586,1669388000.00000000000000000000,[0A]
587,1669471000.00000000000000000000,A
588,1669554000.00000000000000000000,T
589,1669638000.00000000000000000000,[C8]
590,1669721000.00000000000000000000,R
591,1669804000.00000000000000000000,S
592,1669887000.00000000000000000000,2
593,1669970000.00000000000000000000,7
594,1670054000.00000000000000000000,[BA]
595,1670137000.00000000000000000000, 
596,1670220000.00000000000000000000,r
597,1670303000.00000000000000000000,e
598,1670386000.00000000000000000000,s
599,1670469000.00000000000000000000,e
600,1670553000.00000000000000000000,t
601,1670636000.00000000000000000000,t
602,1670719000.00000000000000000000,i
603,1670802000.00000000000000000000,n
604,1670885000.00000000000000000000,g
605,1670969000.00000000000000000000, 
606,1671052000.00000000000000000000,s
607,1671135000.00000000000000000000,2
608,1671218000.00000000000000000000,7
609,1671301000.00000000000000000000,[0D]
610,1671385000.00000000000000000000,[0A]
611,1831539000.00000000000000000000,A
612,1831623000.00000000000000000000,[D4]
613,1831706000.00000000000000000000,H
614,1831789000.00000000000000000000,R
615,1831872000.00000000000000000000,S
616,1831955000.00000000000000000000,2
617,1832039000.00000000000000000000,[B7]
618,1832122000.00000000000000000000,:
619,1832205000.00000000000000000000, 
620,1832288000.00000000000000000000,s
621,1832371000.00000000000000000000,2
622,1832455000.00000000000000000000,[B7]
623,1832538000.00000000000000000000, 
624,1832621000.00000000000000000000,r
625,1832704000.00000000000000000000,e
626,1832787000.00000000000000000000,s
627,1832870000.00000000000000000000,e
628,1832954000.00000000000000000000,t
629,1833037000.00000000000000000000, 
630,1833120000.00000000000000000000,d
631,1833203000.00000000000000000000,o
632,1833286000.00000000000000000000,n
633,1833370000.00000000000000000000,e
634,1833453000.00000000000000000000,[0D]
635,1833536000.00000000000000000000,[0A]
636,1834643000.00000000000000000000,[BA]
637,1834726000.00000000000000000000, 
638,1834809000.00000000000000000000,c
639,1834892000.00000000000000000000,f
640,1834975000.00000000000000000000,g
641,1835059000.00000000000000000000,[B1]
642,1835142000.00000000000000000000, 
643,1835225000.00000000000000000000,0
644,1835308000.00000000000000000000,x
645,1835391000.00000000000000000000,8
646,1835475000.00000000000000000000,[B0]
647,1835558000.00000000000000000000,0
648,1835641000.00000000000000000000,c
649,1835724000.00000000000000000000,0
650,1835807000.00000000000000000000,0
651,1835891000.00000000000000000000,[B0]
652,1835974000.00000000000000000000,0
653,1836057000.00000000000000000000, 
654,1836140000.00000000000000000000,c
655,1836223000.00000000000000000000,f
656,1836307000.00000000000000000000,[E7]
657,1836390000.00000000000000000000,2
658,1836473000.00000000000000000000, 
659,1836556000.00000000000000000000,0
660,1836639000.00000000000000000000,x
661,1836723000.00000000000000000000,[B7]
662,1836806000.00000000000000000000,2
663,1836889000.00000000000000000000,1
664,1836972000.00000000000000000000,4
665,1837055000.00000000000000000000,[0D]
666,1837139000.00000000000000000000,[8A]
667,1997060000.00000000000000000000,e
668,1997143000.00000000000000000000,t
669,1997227000.00000000000000000000,h
670,1997310000.00000000000000000000,1
671,1997393000.00000000000000000000,:
672,1997476000.00000000000000000000, 
673,1997559000.00000000000000000000,b
674,1997643000.00000000000000000000,[E1]
675,1997726000.00000000000000000000,:
676,1997809000.00000000000000000000,b
677,1997892000.00000000000000000000,e
678,1997975000.00000000000000000000,:
679,1998059000.00000000000000000000,[E6]
680,1998142000.00000000000000000000,a
681,1998225000.00000000000000000000,:
682,1998308000.00000000000000000000,c
683,1998391000.00000000000000000000,e
684,1998475000.00000000000000000000,[BA]
685,1998558000.00000000000000000000,0
686,1998641000.00000000000000000000,8
687,1998724000.00000000000000000000,:
688,1998807000.00000000000000000000,4
689,1998891000.00000000000000000000,[B1]
690,1998974000.00000000000000000000,[0D]
691,1999057000.00000000000000000000,[0A]
692,1999140000.00000000000000000000,a
693,1999223000.00000000000000000000,t
694,1999307000.00000000000000000000,[E8]
695,1999390000.00000000000000000000,r
696,1999473000.00000000000000000000,s
697,1999556000.00000000000000000000,2
698,1999639000.00000000000000000000,7
699,1999723000.00000000000000000000,[DF]
700,1999806000.00000000000000000000,p
701,1999889000.00000000000000000000,h
702,1999972000.00000000000000000000,y
703,2000055000.00000000000000000000,_
704,2000139000.00000000000000000000,[F3]
705,2000222000.00000000000000000000,e
706,2000305000.00000000000000000000,t
707,2000388000.00000000000000000000,u
708,2000471000.00000000000000000000,p
709,2000555000.00000000000000000000,[A0]
710,2000638000.00000000000000000000,A
711,2000721000.00000000000000000000,T
712,2000804000.00000000000000000000,H
713,2000887000.00000000000000000000,R
714,2000971000.00000000000000000000,[DF]
715,2001054000.00000000000000000000,P
716,2001137000.00000000000000000000,H
717,2001220000.00000000000000000000,Y
718,2001303000.00000000000000000000,_
719,2001386000.00000000000000000000,C
720,2001470000.00000000000000000000,O
721,2001553000.00000000000000000000,N
722,2001636000.00000000000000000000,T
723,2001719000.00000000000000000000,R
724,2001802000.00000000000000000000,O
725,2001886000.00000000000000000000,L
726,2001969000.00000000000000000000, 
727,2002052000.00000000000000000000,0
728,2002135000.00000000000000000000, 
729,2002218000.00000000000000000000,:
730,2002302000.00000000000000000000,1
731,2002385000.00000000000000000000,0
732,2002468000.00000000000000000000,0
733,2002551000.00000000000000000000,0
734,2002634000.00000000000000000000,[0D]
735,2002718000.00000000000000000000,[0A]
736,2002801000.00000000000000000000,a
737,2002884000.00000000000000000000,t
